연도,보험종류,지역,수입보험료,발생손해액
2018,실손의료보험,서울,8523400,7245890
2018,실손의료보험,경기,6234500,5410320
2018,실손의료보험,부산,2341200,2105080
2018,실손의료보험,대구,1823400,1641060
2018,실손의료보험,인천,1923400,1634890
2018,실손의료보험,광주,1123400,1011060
2018,실손의료보험,대전,1223400,1101060
2018,암보험,서울,4523400,2987540
2018,암보험,경기,3234500,2134570
2018,암보험,부산,1341200,885192
2018,암보험,대구,923400,609444
2018,암보험,인천,1023400,675444
2018,암보험,광주,623400,411444
2018,암보험,대전,723400,477444
2018,치아보험,서울,2123400,1485380
2018,치아보험,경기,1634500,1144150
2018,치아보험,부산,641200,448840
2018,치아보험,대구,423400,296380
2018,치아보험,인천,523400,366380
2018,치아보험,광주,323400,226380
2018,치아보험,대전,373400,261380
2019,실손의료보험,서울,9023400,7892970
2019,실손의료보험,경기,6634500,5803688
2019,실손의료보험,부산,2541200,2241458
2019,실손의료보험,대구,1923400,1731060
2019,실손의료보험,인천,2023400,1820060
2019,실손의료보험,광주,1223400,1101060
2019,실손의료보험,대전,1323400,1191060
2019,암보험,서울,4923400,3248244
2019,암보험,경기,3534500,2332770
2019,암보험,부산,1441200,951192
2019,암보험,대구,1023400,675444
2019,암보험,인천,1123400,741444
2019,암보험,광주,723400,477444
2019,암보험,대전,823400,543444
2019,치아보험,서울,2323400,1626380
2019,치아보험,경기,1834500,1284150
2019,치아보험,부산,741200,518840
2019,치아보험,대구,523400,366380
2019,치아보험,인천,623400,436380
2019,치아보험,광주,423400,296380
2019,치아보험,대전,473400,331380
2020,실손의료보험,서울,9423400,8481060
2020,실손의료보험,경기,7034500,6330450
2020,실손의료보험,부산,2741200,2714388
2020,실손의료보험,대구,2023400,2003166
2020,실손의료보험,인천,2223400,2001060
2020,실손의료보험,광주,1323400,1243180
2020,실손의료보험,대전,1423400,1352230
2020,암보험,서울,5323400,3615112
2020,암보험,경기,3934500,2672460
2020,암보험,부산,1641200,1115016
2020,암보험,대구,1223400,831012
2020,암보험,인천,1323400,899112
2020,암보험,광주,923400,627012
2020,암보험,대전,1023400,695412
2020,치아보험,서울,2523400,1820848
2020,치아보험,경기,2034500,1469640
2020,치아보험,부산,841200,607266
2020,치아보험,대구,623400,461616
2020,치아보험,인천,723400,535016
2020,치아보험,광주,523400,383016
2020,치아보험,대전,573400,422016
2021,실손의료보험,서울,10223400,9405528
2021,실손의료보험,경기,7634500,7090785
2021,실손의료보험,부산,2941200,2882076
2021,실손의료보험,대구,2223400,2178932
2021,실손의료보험,인천,2423400,2304630
2021,실손의료보험,광주,1423400,1380478
2021,실손의료보험,대전,1523400,1468284
2021,암보험,서울,5723400,4005380
2021,암보험,경기,4234500,2964150
2021,암보험,부산,1741200,1218840
2021,암보험,대구,1323400,926380
2021,암보험,인천,1423400,996380
2021,암보험,광주,1023400,716380
2021,암보험,대전,1123400,786380
2021,치아보험,서울,2723400,2069784
2021,치아보험,경기,2234500,1696020
2021,치아보험,부산,941200,714912
2021,치아보험,대구,723400,565452
2021,치아보험,인천,823400,635452
2021,치아보험,광주,623400,475452
2021,치아보험,대전,673400,515452
2022,실손의료보험,서울,11023400,10141128
2022,실손의료보험,경기,8234500,7714808
2022,실손의료보험,부산,3141200,3035958
2022,실손의료보험,대구,2423400,2362023
2022,실손의료보험,인천,2623400,2520064
2022,실손의료보험,광주,1623400,1558464
2022,실손의료보험,대전,1723400,1659474
2022,암보험,서울,6023400,4336848
2022,암보험,경기,4534500,3264120
2022,암보험,부산,1841200,1325664
2022,암보험,대구,1423400,1025448
2022,암보험,인천,1523400,1097448
2022,암보험,광주,1123400,809448
2022,암보험,대전,1223400,881448
2022,치아보험,서울,2923400,2256424
2022,치아보험,경기,2434500,1876230
2022,치아보험,부산,1041200,810136
2022,치아보험,대구,823400,659452
2022,치아보험,인천,923400,739452
2022,치아보험,광주,723400,579452
2022,치아보험,대전,773400,619452
2023,실손의료보험,서울,12023400,11542464
2023,실손의료보험,경기,8934500,8578320
2023,실손의료보험,부산,3341200,3308388
2023,실손의료보험,대구,2623400,2597166
2023,실손의료보험,인천,2823400,2795166
2023,실손의료보험,광주,1823400,1805166
2023,실손의료보험,대전,1923400,1903986
2023,암보험,서울,6423400,4816530
2023,암보험,경기,4834500,3625875
2023,암보험,부산,1941200,1455900
2023,암보험,대구,1523400,1142550
2023,암보험,인천,1623400,1217550
2023,암보험,광주,1223400,917550
2023,암보험,대전,1323400,992550
2023,치아보험,서울,3123400,2529354
2023,치아보험,경기,2634500,2133045
2023,치아보험,부산,1141200,924372
2023,치아보험,대구,923400,764022
2023,치아보험,인천,1023400,844022
2023,치아보험,광주,823400,674022
2023,치아보험,대전,873400,714022
