year,insurance_type,region,earned_premium,incurred_loss
2023,Accident Insurance,New Jersey,4505648,2792401
2015,Dental & Vision,Missouri,4158946,3017332
2017,Indemnity Health,New York,9418688,9612118
2023,Accident Insurance,Michigan,4957417,4182086
2020,Accident Insurance,Virginia,5208873,3467327
2022,Dental & Vision,New York,12665387,12805106
2021,Long-term Care,Maryland,4487532,5782735
2017,Indemnity Health,Florida,7731798,6936396
2021,Dental & Vision,Tennessee,2802381,2180281
2015,Accident Insurance,New Jersey,5753267,4295978
2015,Indemnity Health,Wisconsin,3935869,3201424
2015,Cancer Insurance,Michigan,4150925,3712559
2017,Critical Illness,Arizona,3091895,2253813
2021,Cancer Insurance,Indiana,3304380,2179708
2015,Indemnity Health,Indiana,3337901,2704442
2021,Accident Insurance,Florida,6741900,5803520
2024,Long-term Care,Tennessee,3814073,4770487
2021,Indemnity Health,California,14651472,15440755
2015,Accident Insurance,Indiana,2358784,2074013
2017,Indemnity Health,California,11419340,8807812
2020,Long-term Care,Virginia,3226168,3576853
2021,Indemnity Health,Florida,6710559,5467150
2016,Long-term Care,Maryland,4739447,4775093
2021,Cancer Insurance,Massachusetts,5773521,4798444
2019,Dental & Vision,Pennsylvania,6283675,5719014
2016,Indemnity Health,Arizona,4384598,3985805
2018,Cancer Insurance,New Jersey,5078143,3785233
2021,Dental & Vision,California,11619456,9483322
2022,Indemnity Health,Illinois,6240728,5237113
2015,Indemnity Health,New York,11132478,9651906
2023,Critical Illness,Massachusetts,5413439,3208840
2017,Long-term Care,Florida,7211224,7068789
2015,Cancer Insurance,Ohio,4855633,4223616
2016,Cancer Insurance,Wisconsin,3109641,2665179
2024,Indemnity Health,Texas,10296009,10250336
2019,Accident Insurance,Wisconsin,3223316,2233639
2022,Indemnity Health,Arizona,4942725,3741666
2024,Long-term Care,Indiana,3688433,4121609
2017,Accident Insurance,Missouri,3312060,2450698
2018,Accident Insurance,Virginia,5484411,4564152
2022,Indemnity Health,Washington,4228724,3898641
2020,Accident Insurance,Maryland,4995835,5108103
2015,Critical Illness,Maryland,4193204,2979326
2022,Long-term Care,Washington,5767476,6369860
2024,Critical Illness,Virginia,4630328,3707814
2021,Cancer Insurance,Washington,5124212,4763044
2020,Dental & Vision,Washington,5536444,4205291
2024,Cancer Insurance,Illinois,4512222,3395274
2024,Cancer Insurance,Maryland,3666493,2865122
2015,Critical Illness,Massachusetts,5438852,3928117
2020,Cancer Insurance,Virginia,5034854,4589991
2024,Indemnity Health,Pennsylvania,5264080,5071847
2017,Accident Insurance,Florida,7824925,5302485
2015,Dental & Vision,Ohio,4889449,4149966
2024,Cancer Insurance,Missouri,2745496,1798872
2024,Long-term Care,New Jersey,4206332,4170184
2019,Indemnity Health,Arizona,3045728,2300415
2020,Cancer Insurance,Illinois,5292622,3938933
2018,Dental & Vision,New Jersey,4624373,3337615
2020,Dental & Vision,Georgia,4589069,4036045
2019,Critical Illness,Florida,7253660,5765244
2017,Indemnity Health,Georgia,3081703,2952357
2018,Accident Insurance,Florida,6846156,5310515
2017,Long-term Care,Washington,4595301,4248544
2018,Cancer Insurance,Ohio,5161972,4380957
2021,Indemnity Health,Florida,6197341,6992148
2018,Indemnity Health,Georgia,5489724,5312808
2016,Critical Illness,Pennsylvania,6074526,2942163
2020,Dental & Vision,Tennessee,4195495,3717330
2024,Cancer Insurance,Wisconsin,3575538,2908220
2017,Cancer Insurance,Indiana,2855437,2383218
2021,Indemnity Health,Washington,3508808,2641723
2015,Cancer Insurance,Arizona,4909163,3961457
2022,Long-term Care,Florida,9959511,12423627
2018,Long-term Care,Washington,4751853,5855023
2016,Critical Illness,Florida,7766797,4209210
2021,Dental & Vision,Georgia,5358089,4851466
2015,Dental & Vision,Missouri,2948628,2508771
2015,Long-term Care,New Jersey,5745153,6563914
2023,Indemnity Health,Maryland,3666427,3889554
2024,Critical Illness,Wisconsin,2986426,2232148
2019,Dental & Vision,Missouri,3734742,2686885
2016,Critical Illness,California,13345256,8627254
2020,Accident Insurance,Washington,5945926,6117578
2016,Critical Illness,Massachusetts,3675895,2385059
2024,Dental & Vision,California,14050797,13433484
2018,Dental & Vision,Virginia,4341317,2872076
2021,Cancer Insurance,Wisconsin,3308291,2765918
2021,Dental & Vision,Washington,5790772,5032723
2018,Accident Insurance,Michigan,4196533,3079328
2016,Indemnity Health,Illinois,5120523,4379209
2015,Indemnity Health,Pennsylvania,4690538,4271577
2018,Dental & Vision,Ohio,5902743,4693274
2024,Long-term Care,Virginia,3749431,4125889
2018,Indemnity Health,North Carolina,5143503,5505472
2020,Critical Illness,Michigan,4588424,4055574
2023,Long-term Care,Virginia,3835125,3902610
2023,Dental & Vision,Illinois,6595588,4320779
2016,Indemnity Health,Illinois,5197777,4579153
2020,Cancer Insurance,Florida,7020918,5295512
2019,Critical Illness,Illinois,5867462,4528037
2020,Indemnity Health,Tennessee,2873955,2576968
2015,Cancer Insurance,New York,11125988,9364103
2016,Indemnity Health,Wisconsin,2870783,1942765
2021,Accident Insurance,California,12751911,9985328
2017,Accident Insurance,Texas,10419505,7637394
2016,Cancer Insurance,Texas,8741964,4887956
2022,Accident Insurance,Missouri,2425242,1968249
2021,Long-term Care,Illinois,6498247,8171118
2016,Cancer Insurance,Illinois,7220522,4192159
2023,Cancer Insurance,Georgia,3403906,2943672
2022,Dental & Vision,North Carolina,3227806,3047904
2024,Accident Insurance,Arizona,4869536,3340166
2023,Accident Insurance,Ohio,5137324,4301745
2019,Long-term Care,Missouri,3310163,3887481
2022,Accident Insurance,Washington,4713018,3368042
2015,Accident Insurance,Wisconsin,2534128,2104362
2017,Cancer Insurance,New York,10688993,9534161
2015,Cancer Insurance,New Jersey,5219970,4130740
2018,Accident Insurance,Washington,4826166,3037253
2018,Cancer Insurance,Maryland,3131697,1835534
2022,Cancer Insurance,Wisconsin,2484494,1716425
2022,Indemnity Health,Texas,8532623,6758299
2016,Long-term Care,Washington,4471275,5483206
2019,Indemnity Health,California,13356261,9948213
2016,Cancer Insurance,Missouri,2500636,1962527
2023,Cancer Insurance,Indiana,2511042,1644434
2020,Long-term Care,Virginia,3729568,3742337
2020,Indemnity Health,Missouri,3922440,3928341
2021,Indemnity Health,Indiana,3442722,3345918
2022,Long-term Care,Texas,11025732,12281496
2018,Indemnity Health,Georgia,4024606,3100708
2021,Accident Insurance,Wisconsin,2872163,2469042
2020,Long-term Care,Texas,7772903,9030376
2023,Accident Insurance,Maryland,4175032,4021036
2021,Critical Illness,Illinois,6654470,5847210
